,cover_cm,water_cement_ratio,time_yrs,CorrosionLvl_Long,CorrosionLvl_Transv,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling
0,4,0.4,5,1.658948118,3.677540555,0.369502395,0.0354312,0.00897271,0.0128941,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928
1,4,0.4,10,2.979588266,6.277550801,0.367719458,0.0354096,0.00897847,0.0128985,56.24571879,52.09028599,0.103914785,2,20.662892,225,24,0.4286235,6.616897483,0.004,0.015721006,0.050163079
2,4,0.4,15,4.081172873,8.432403679,0.366129159,0.0353123,0.00896234,0.0128723,54.85772218,49.37517136,0.101525592,2,20.662892,225,24,0.423756843,6.509213048,0.004,0.015359097,0.049352634
3,4,0.4,20,5.065313263,10.3466426,0.364626299,0.0353076,0.00897682,0.0128877,53.61770529,46.96323032,0.099403179,2,20.662892,225,24,0.419409039,6.415173964,0.004,0.015037616,0.048659651
4,4,0.4,25,5.971173759,12.099405,0.363172583,0.0354234,0.00902763,0.0129532,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281
5,4,0.4,30,6.81923826,13.73221411,0.36174907,0.0357469,0.009151,0.013116,51.40775979,42.69741022,0.095649426,2,20.662892,225,24,0.411660428,6.252824306,0.004,0.014469075,0.047495788
6,4,0.4,35,7.621962033,15.27039104,0.360344912,0.0378722,0.00999316,0.0142203,50.39632784,40.75930729,0.093943972,2,20.662892,225,24,0.408114099,6.180832519,0.004,0.014210785,0.046992918
7,4,0.4,40,8.387650401,16.73086531,0.358953347,0.0384949,0.0102583,0.0145638,49.43156049,38.9191097,0.092324671,2,20.662892,225,24,0.404731388,6.113551602,0.004,0.013965553,0.046530335
8,4,0.4,45,9.122200761,18.12568837,0.357569936,0.0393552,0.010655,0.0150715,48.50602704,37.16163266,0.09077816,2,20.662892,225,24,0.40148624,6.050304394,0.004,0.013731355,0.046102012
9,4,0.4,50,9.829996808,19.46383972,0.356191674,0.0405557,0.0111272,0.0156914,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393
10,4,0.4,55,10.51441274,20.75224679,0.354816502,0.0420678,0.0116974,0.0164455,46.75183995,33.85216904,0.087865963,2,20.662892,225,24,0.39533563,5.933990581,0.004,0.013290368,0.045330911
11,4,0.4,60,11.17811813,21.9964024,0.353443014,0.0433303,0.0121806,0.0170829,45.91557116,32.28453298,0.086486505,2,20.662892,225,24,0.392403466,5.88021281,0.004,0.013081492,0.0449817
12,4,0.4,65,11.82327263,23.20075948,0.352070274,0.0448608,0.0127757,0.0178657,45.10267649,30.76704306,0.085151174,2,20.662892,225,24,0.389553258,5.828991001,0.004,0.012879306,0.04465341
13,4,0.4,70,12.45165575,24.36899471,0.350697693,0.0461256,0.0132473,0.0184907,44.31091376,29.29506666,0.083855893,2,20.662892,225,24,0.386777143,5.780110228,0.004,0.012683192,0.044344073
14,4,0.4,75,13.06475663,25.50419091,0.349324954,0.046747,0.0134626,0.0187798,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023
